Case Type,Country Region,Latitude (generated),Longitude (generated),Cases
Confirmed,Canada,59.2067,-111.1937,3727966
Confirmed,Cameroon,4.4,12.131,167424
Confirmed,Cambodia,12.69,104.444,9146
Confirmed,Cabo Verde,15.416,-23.36,12711
Confirmed,Burundi,-3.333,29.749,1326
Confirmed,Burma,21.841,96.05,9172
Confirmed,Burkina Faso,12.673,-1.226,44641
Confirmed,Bulgaria,42.625,24.521,105396
Confirmed,Brunei,4.452,114.557,10695
Confirmed,Brazil,-11.694,-48.978,11310710
Confirmed,Botswana,-22.126,23.662,1445
Confirmed,Bosnia and Herzegovina,44.342,17.804,115254
Confirmed,Bolivia,-16.71,-65.183,198559
Confirmed,Bhutan,27.5342,90.3002,958
Confirmed,Benin,10.478,2.274,8804
Confirmed,Belize,17.108,-88.744,1059
Confirmed,Belgium,50.6745,4.4588,3005609
Confirmed,Belarus,53.3292,27.9492,1218122
Confirmed,Barbados,13.1898,-59.559,5391
Confirmed,Bangladesh,24.598,90.1963,1016822
Confirmed,Bahrain,26.025,50.5534,317403
Confirmed,Bahamas,24.7032,-78.0455,5018
Confirmed,Azerbaijan,40.46,47.883,163220
Confirmed,Austria,47.65,14.705,1069610
Confirmed,Australia,-24.578,133.582,470916
Confirmed,Armenia,40.56,44.449,233301
Confirmed,Argentina,-33.166,-64.31,434860
Confirmed,Antigua and Barbuda,17.625,-61.786,1558
Confirmed,Angola,-12.836,17.808,2632
Confirmed,Andorra,42.5425,1.5893,48703
Confirmed,Algeria,28.6045,2.64,324422
Confirmed,Albania,40.654,20.076,51425
Confirmed,Afghanistan,34.023,65.5267,321697
